id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
8521,Rental unit in Cambridge · ★4.80 · 2 bedrooms · 2 beds · 1 bath,306681,Janet,,West Cambridge,42.38258,-71.13646,Entire home/apt,225,2,66,2023-08-26,0.38,2,284,16,C0121120491
11169,Home in Cambridge · ★4.78 · 1 bedroom · 1 private bath,40965,Judy,,North Cambridge,42.3963,-71.13135,Private room,183,3,175,2023-10-23,1.05,3,346,11,
19581,Bed and breakfast in Cambridge · ★4.50 · 1 bedroom · 1 bed · 1 private bath,74249,Marc And Patty,,The Port,42.36258,-71.09603,Private room,225,10,11,2023-10-25,0.07,3,319,3,
27498,Bed and breakfast in Cambridge · ★4.73 · 1 bedroom · 1 bed · 1 private bath,74249,Marc And Patty,,The Port,42.36254,-71.09698,Private room,250,5,23,2023-10-29,0.14,3,359,4,
79762,Rental unit in Cambridge · ★4.86 · 2 bedrooms · 2 beds · 1 bath,430015,Kevin,,The Port,42.3695,-71.09921,Entire home/apt,300,3,408,2023-10-23,2.65,1,301,23,STR-15661
106474,Bed and breakfast in Cambridge · ★4.86 · 1 bedroom · 1 bed · 1 private bath,74249,Marc And Patty,,The Port,42.36274,-71.09768,Private room,265,5,21,2022-10-12,0.14,3,363,0,ROT-10694669-006
108898,Rental unit in Cambridge · ★4.74 · 1 bedroom · 1 bed · 1 bath,306681,Janet,,West Cambridge,42.38227,-71.13643,Entire home/apt,225,2,42,2023-06-30,0.27,2,236,8,CO121110491
405144,Rental unit in Mid-Cambridge · ★4.75 · 2 bedrooms · 1 bed · 1 bath,2018955,Nicole,,Riverside,42.3691,-71.11237,Entire home/apt,165,31,54,2021-07-29,0.38,1,200,0,
445407,Rental unit in Mid-Cambridge · ★4.93 · 4 bedrooms · 6 beds · 2 baths,2212429,Jimmy,,Wellington-Harrington,42.37147,-71.08939,Entire home/apt,1500,3,75,2023-08-17,0.54,2,124,11,STR-17249
456429,Rental unit in Somerville · ★4.97 · 3 bedrooms · 6 beds · 2 baths,2244099,Rebecca,,North Cambridge,42.39475,-71.12548,Entire home/apt,557,4,295,2023-08-17,2.10,1,20,11,
675441,Rental unit in Cambridge · ★4.64 · 1 bedroom · 1 bed · 1 shared bath,3423245,Elaine,,East Cambridge,42.37103,-71.07557,Private room,188,91,12,2013-10-25,0.09,1,365,0,
715532,Rental unit in Cambridge · ★4.92 · 1 bedroom · 2 beds · 1 bath,3673828,Kate,,North Cambridge,42.39346,-71.13137,Entire home/apt,225,2,356,2023-10-31,2.60,1,244,21,C0262370491
742574,Rental unit in Cambridge · ★4.57 · 1 bedroom · 2 beds · 1 bath,1152305,Greg,,The Port,42.36545,-71.10268,Entire home/apt,160,30,133,2023-11-19,0.99,2,151,3,
860634,Bed and breakfast in Cambridge · ★4.93 · 1 bedroom · 1 bed · 1 shared bath,4507945,Deborah,,Agassiz,42.38373,-71.11424,Private room,70,3,520,2023-12-09,3.99,1,39,36,
910408,Condo in Cambridge · ★4.86 · 1 bedroom · 1 bed · 1 bath,4883794,Melissa,,Mid-Cambridge,42.37136,-71.10781,Entire home/apt,120,30,8,2023-09-09,0.06,1,201,1,
1054635,Rental unit in Cambridge · ★4.93 · 1 bedroom · 1 bed · 1 bath,3087212,Eleanor,,Mid-Cambridge,42.37285,-71.11263,Entire home/apt,130,91,15,2023-12-10,0.12,1,1,3,
1080789,Condo in Cambridge · 4 bedrooms · 3 beds · 2 baths,40965,Judy,,North Cambridge,42.39426,-71.13258,Entire home/apt,450,10,0,,,3,342,0,C0169140491
1097262,Rental unit in Cambridge · ★4.77 · 1 bedroom · 1 bed · 1 shared bath,6030020,Jason,,Cambridgeport,42.35734,-71.10973,Private room,67,21,49,2023-09-19,0.38,5,330,2,
1140201,Rental unit in Cambridge · ★4.71 · 1 bedroom · 1 bed · 1 shared bath,6030020,Jason,,Cambridgeport,42.35966,-71.10854,Private room,41,21,79,2023-11-04,0.61,5,333,5,
1141088,Rental unit in Cambridge · ★4.77 · 2 bedrooms · 2 beds · 1 bath,2530211,Erin,,Wellington-Harrington,42.37324,-71.09635,Entire home/apt,160,2,589,2023-12-17,4.56,1,169,77,STR-14611
1154298,Rental unit in Cambridge · ★4.70 · 1 bedroom · 1 shared bath,6325607,John,,North Cambridge,42.39892,-71.13527,Private room,69,1,484,2023-11-26,3.80,1,358,41,C0244870491
1215512,Condo in Cambridge · ★4.94 · 2 bedrooms · 2 beds · 1 bath,2066283,Chunbai,,Strawberry Hill,42.37656,-71.15029,Entire home/apt,173,180,17,2022-10-17,0.16,1,327,0,
1225831,Rental unit in Cambridge · ★4.84 · 1 bedroom · 2 beds · 1 bath,3380576,Paul,,The Port,42.36665,-71.09823,Entire home/apt,136,3,601,2023-12-20,4.68,1,0,61,STR-14804
1404377,Bed and breakfast in Cambridge · ★4.92 · 1 bedroom · 1 bed · 1 private bath,7579202,Jenny,,East Cambridge,42.36892,-71.08496,Private room,,3,336,2022-06-03,2.66,2,0,0,STR-14761
1406416,Bed and breakfast in Cambridge · ★4.84 · 1 bedroom · 1 bed · 1 private bath,7579202,Jenny,,East Cambridge,42.37121,-71.08116,Private room,,3,228,2022-06-15,1.86,2,0,0,STR-14761
1632003,Home in Cambridge · ★4.96 · 2 bedrooms · 2 beds · 1.5 baths,8530114,Colleen,,Mid-Cambridge,42.37303,-71.10539,Private room,235,2,76,2023-10-16,0.61,1,133,10,
1711476,Rental unit in Cambridge · ★4.82 · 1 bedroom · 1 bed · 1 bath,3402394,Case,,Mid-Cambridge,42.37301,-71.1041,Entire home/apt,130,32,68,2023-10-24,0.72,2,232,2,
1799157,Rental unit in Cambridge · ★4.81 · 1 bedroom · 1 bed · 1 shared bath,7757356,Alan,,Strawberry Hill,42.37595,-71.15452,Private room,70,23,38,2023-12-01,0.31,1,147,3,C0258990491
1840256,Serviced apartment in Cambridge · ★4.65 · 1 bedroom · 2 beds · 1 bath,9419684,Churchill,,East Cambridge,42.363747,-71.083374,Entire home/apt,278,31,20,2022-05-27,0.17,11,351,0,C0281180491
1855969,Serviced apartment in Cambridge · ★4.91 · 2 bedrooms · 3 beds · 2 baths,9419684,Churchill,,East Cambridge,42.363747,-71.083374,Entire home/apt,363,31,32,2022-05-20,0.26,11,365,0,C0281180491
1893287,Rental unit in Cambridge · ★4.92 · 1 bedroom · 1 bed · 1 bath,9553483,Jookun,,The Port,42.36571,-71.1023,Entire home/apt,159,3,238,2023-10-29,1.94,1,146,34,C0105440491
1935343,Guest suite in Cambridge · ★4.79 · 1 bedroom · 1 bed · 1 bath,10014448,Lucia,,Cambridgeport,42.35715,-71.11026,Entire home/apt,166,2,322,2023-12-18,2.68,1,0,45,53615
1984737,Home in Cambridge · ★4.74 · 4 bedrooms · 5 beds · 1.5 baths,8824696,Steve,,West Cambridge,42.38248,-71.13545,Entire home/apt,307,2,387,2023-12-11,3.32,2,300,30,STR-13324
2030680,Home in Cambridge · ★4.94 · 1 bedroom · 1 bed · 1 shared bath,10427720,Gosia,,Strawberry Hill,42.37837,-71.15249,Private room,125,30,33,2023-12-01,0.28,2,365,4,
2038283,Condo in Cambridge · ★4.83 · 1 bedroom · 1 bed · 1 bath,4521987,Kris,,Mid-Cambridge,42.37247,-71.11381,Entire home/apt,118,5,210,2023-12-02,1.74,1,29,26,ROC-19403721-002
2092181,Condo in Cambridge · ★4.90 · 1 bedroom · 1 bed · 1 bath,10641173,Randi,,Wellington-Harrington,42.37312,-71.0901,Entire home/apt,125,1,51,2023-05-24,0.44,1,0,2,STR-20621
2176599,Serviced apartment in Cambridge · ★4.67 · 1 bedroom · 2 beds · 1 bath,9419684,Churchill,,East Cambridge,42.363747,-71.083374,Entire home/apt,278,31,6,2021-06-27,0.05,11,351,0,C0281180491
2223447,Condo in Cambridge · ★4.58 · 1 bedroom · 1 bed · 1 bath,7421025,Doriana,,Mid-Cambridge,42.37125,-71.11183,Entire home/apt,195,91,33,2018-09-01,0.31,3,208,0,
2244415,Rental unit in Cambridge · ★4.70 · 2 bedrooms · 2 beds · 1 bath,3668535,Jonas,,Mid-Cambridge,42.37248,-71.11488,Entire home/apt,335,30,107,2023-11-26,0.91,5,365,8,C0191060491
2451591,Townhouse in Cambridge · ★4.78 · 1 bedroom · 1 bed · 1 private bath,12535522,Mona,,Cambridgeport,42.36093,-71.10642,Private room,129,30,23,2023-05-20,0.20,1,163,1,C0248480491
2467252,Home in Cambridge · ★4.93 · 1 bedroom · 2 beds · 1 shared bath,12617598,Caroline HB,,Neighborhood Nine,42.38137,-71.12917,Private room,124,2,261,2023-11-19,2.20,1,98,23,STR-14032
2538983,Condo in Cambridge · ★4.90 · 2 bedrooms · 2 beds · 1 bath,13000172,Dan,,Cambridgeport,42.35704,-71.10909,Entire home/apt,238,1,608,2023-12-16,5.94,1,0,97,C0082170491
2692752,Home in Cambridge · ★4.75 · 1 bedroom · 1 bed · 1 shared bath,6501896,Shelley,,Cambridgeport,42.36276,-71.10195,Private room,,2,63,2020-03-01,0.54,1,0,0,
2875646,Rental unit in Cambridge · ★4.79 · 1 bedroom · 1 bed · 1 bath,14649698,Blair,,Wellington-Harrington,42.37138,-71.08913,Entire home/apt,,1,116,2023-10-30,0.99,1,0,3,STR-15578
2879039,Serviced apartment in Cambridge · ★4.79 · 1 bedroom · 2 beds · 1 bath,9419684,Churchill,,East Cambridge,42.363747,-71.083374,Entire home/apt,278,31,14,2018-01-13,0.12,11,351,0,C0281180491
3021937,Rental unit in Cambridge · ★4.74 · 1 bedroom · 1 bed · 1 shared bath,6030020,Jason,,Cambridgeport,42.35854,-71.10955,Private room,70,21,19,2023-09-29,0.16,5,291,5,
3100411,Rental unit in Cambridge · ★4.59 · 2 bedrooms · 2 beds · 1 bath,3668535,Jonas,,Mid-Cambridge,42.37318,-71.11334,Entire home/apt,292,7,79,2023-10-29,0.68,5,362,12,C0191060491
3167866,Townhouse in Cambridge · ★4.83 · 3 bedrooms · 3 beds · 2 baths,4297079,Charlton & Theresa,,Wellington-Harrington,42.37006378173828,-71.08882141113281,Entire home/apt,225,30,81,2022-06-14,0.70,1,207,0,STR-63106
3234995,Rental unit in Cambridge · ★4.96 · 1 bedroom · 1 bed · 1 bath,10470174,Maria,,West Cambridge,42.37896,-71.12489,Entire home/apt,259,2,103,2023-12-20,1.30,1,158,38,ROC-1283538-003
3247833,Rental unit in Cambridge · ★4.86 · 3 bedrooms · 4 beds · 1 bath,2212429,Jimmy,,Wellington-Harrington,42.37032,-71.09317,Entire home/apt,224,2,571,2023-12-10,5.33,2,213,72,STR-13597
3334098,Rental unit in Cambridge · ★4.93 · 2 bedrooms · 2 beds · 1 bath,5331227,/We Are Kai & Nina,,East Cambridge,42.36862,-71.08573,Entire home/apt,385,3,84,2023-07-06,0.74,1,36,8,
3474824,Rental unit in Cambridge · ★4.85 · Studio · 1 bed · 1 bath,5074009,Jeff&Liz,,Cambridgeport,42.35879,-71.10877,Entire home/apt,168,7,281,2023-12-20,2.44,2,23,4,STR-13865
3506058,Rental unit in Cambridge · ★4.78 · 1 bedroom · 1 bed · 1 shared bath,9270106,Nanette,,The Port,42.36965,-71.09932,Private room,91,1,815,2023-12-08,7.07,2,305,95,STR-216635
3510127,Rental unit in Cambridge · ★4.85 · 1 bedroom · 1 bed · 1.5 baths,9270106,Nanette,,The Port,42.36904,-71.09937,Private room,61,1,835,2023-12-17,7.25,2,337,94,STR-216635
3538589,Rental unit in Cambridge · ★4.75 · 2 bedrooms · 2 beds · 1 bath,10337757,Bruce & Fariba,,Agassiz,42.38332,-71.11479,Entire home/apt,160,10,136,2023-07-01,1.19,1,116,3,13449
3678159,Rental unit in Cambridge · ★4.82 · 1 bedroom · 1 bed · 1 shared bath,4026958,Robert,,Riverside,42.36703,-71.11235,Private room,125,1,156,2023-11-18,1.72,1,56,33,STR-28731
3684345,Serviced apartment in Cambridge · ★4.73 · 2 bedrooms · 3 beds · 2 baths,9419684,Churchill,,East Cambridge,42.363747,-71.083374,Entire home/apt,363,31,11,2021-02-06,0.10,11,365,0,C0281180491
3740822,Serviced apartment in Cambridge · ★4.75 · 2 bedrooms · 3 beds · 2 baths,9419684,Churchill,,East Cambridge,42.363747,-71.083374,Entire home/apt,363,31,16,2023-07-01,0.14,11,365,1,C0281180491
3774900,Home in Cambridge · ★4.83 · 1 bedroom · 1 bed · 1 bath,6823717,Juan Carlos,,Cambridgeport,42.36125183105469,-71.11312866210938,Entire home/apt,116,2,345,2023-12-26,3.06,1,116,21,STR-246428
3861471,Condo in Cambridge · ★4.87 · 3 bedrooms · 3 beds · 1 bath,11274561,Philip,,The Port,42.36583,-71.09803,Entire home/apt,311,7,129,2023-12-26,1.13,3,75,37,STR-62076
3966829,Rental unit in Cambridge · ★4.72 · 2 bedrooms · 2 beds · 1 bath,20414167,Sandra,,The Port,42.36636,-71.09965,Entire home/apt,160,91,32,2019-08-02,0.28,1,90,0,
4031375,Rental unit in Cambridge · ★4.67 · 1 bedroom · 1 bed · 1 bath,19140459,Gustavo,,North Cambridge,42.39605,-71.134,Private room,114,91,6,2017-09-28,0.05,1,365,0,
4068377,Rental unit in Cambridge · ★4.94 · 1 bedroom · 1 bed · 1 shared bath,405341,Bryan & Marisa,,North Cambridge,42.39437,-71.12601,Private room,,2,258,2022-06-30,2.30,1,0,0,
4109594,Home in Arlington · ★4.76 · 1 bedroom · 1 bed · 1 shared bath,21321632,Marion,,North Cambridge,42.39827,-71.14215,Shared room,60,1,263,2023-11-12,2.33,1,364,39,
4112094,Rental unit in Cambridge · ★4.63 · 1 bedroom · 3 beds · 1 bath,404360,Victor,,West Cambridge,42.37843,-71.14272,Entire home/apt,135,2,359,2023-11-01,3.19,1,190,39,STR-15361
4209359,Condo in Cambridge · ★4.94 · Studio · 1 bath,81038,Louisa,,Mid-Cambridge,42.3677,-71.10584,Entire home/apt,200,29,190,2023-08-17,1.79,8,236,2,C0194540491
4216908,Condo in Cambridge · ★4.96 · 3 bedrooms · 3 beds · 1 bath,21885217,Catherine,,North Cambridge,42.38983,-71.11918,Entire home/apt,345,7,28,2023-09-02,0.36,1,0,4,STR-85105
4235636,Home in Cambridge · ★4.93 · 1 bedroom · 1 bed · 1 bath,10427720,Gosia,,Strawberry Hill,42.37664,-71.15157,Private room,125,30,15,2023-12-09,0.22,2,365,5,
4270619,Rental unit in Cambridge · ★4.77 · 3 bedrooms · 3 beds · 2 baths,21631889,Ling Yi,,The Port,42.36935,-71.09845,Entire home/apt,241,45,60,2023-12-08,0.57,11,0,4,C0193720491
4437529,Serviced apartment in Cambridge · ★4.56 · 2 bedrooms · 3 beds · 2 baths,9419684,Churchill,,East Cambridge,42.363747,-71.083374,Entire home/apt,363,31,9,2016-04-09,0.08,11,365,0,C0281180491
4437789,Serviced apartment in Cambridge · ★4.50 · 1 bedroom · 2 beds · 1 bath,9419684,Churchill,,East Cambridge,42.363747,-71.083374,Entire home/apt,278,31,4,2016-01-18,0.04,11,351,0,C0281180491
4455298,Rental unit in Cambridge · ★4.83 · 3 bedrooms · 5 beds · 2 baths,21631889,Ling Yi,,The Port,42.36896,-71.09846,Entire home/apt,375,45,107,2023-07-27,0.97,11,252,1,C0193720491
4489577,Serviced apartment in Cambridge · 1 bedroom · 2 beds · 1 bath,9419684,Churchill,,East Cambridge,42.363747,-71.083374,Entire home/apt,278,31,2,2018-09-24,0.02,11,351,0,C0281180491
4534572,Rental unit in Cambridge · ★4.89 · 5 bedrooms · 5 beds · 2 baths,4781117,Katie,,West Cambridge,42.38055,-71.14397,Entire home/apt,,5,65,2019-07-14,0.63,1,0,0,STR-13321
4736800,Rental unit in Cambridge · ★4.84 · 1 bedroom · 1 bed · 1 bath,10732627,Suz,,Mid-Cambridge,42.3706,-71.10504,Entire home/apt,155,3,313,2023-12-07,3.87,1,277,27,
4753390,Rental unit in Cambridge · ★4.79 · Studio · 2 beds · 1 bath,21631889,Ling Yi,,The Port,42.36721,-71.0987,Entire home/apt,245,45,73,2023-10-01,0.68,11,95,2,C0194080491
4759313,Home in Cambridge · ★4.93 · 1 bedroom · 1 bed · 1 bath,24302173,Laurie,,Strawberry Hill,42.38019,-71.15465,Entire home/apt,181,3,87,2023-08-20,0.80,1,13,17,13233
4824130,Rental unit in Cambridge · 2 bedrooms · 1 bed · 1 shared bath,1800647,Saba,,Strawberry Hill,42.37734,-71.1486,Shared room,76,91,0,,,1,0,0,
4841421,Condo in Cambridge · ★4.56 · 4 bedrooms · 9 beds · 2.5 baths,8618392,Bertha,,Cambridgeport,42.35679,-71.10917,Entire home/apt,250,3,61,2023-10-24,0.58,1,27,4,STR-13495
4894617,Rental unit in Cambridge · 1 bedroom · 1 bed · 1 bath,25187338,Anshul,,Cambridgeport,42.35961,-71.10742,Private room,80,91,0,,,1,0,0,
4932029,Rental unit in Cambridge · ★4.94 · 1 bedroom · 1 bed · 1 bath,25407755,Nora,,North Cambridge,42.39805,-71.13249,Entire home/apt,162,2,500,2023-10-29,4.59,1,0,28,C0174070491
4954584,Rental unit in Cambridge · ★4.85 · 2 bedrooms · 3 beds · 2 baths,21631889,Ling Yi,,The Port,42.36715,-71.09655,Entire home/apt,230,30,101,2023-05-21,0.93,11,181,1,C0193720491
4956321,Rental unit in Cambridge · ★4.93 · 2 bedrooms · 3 beds · 1 bath,25547444,Susan,,Agassiz,42.38563,-71.11684,Entire home/apt,185,31,131,2023-07-15,1.21,1,268,2,STR-14778
5016234,Condo in Cambridge · 2 bedrooms · 2 beds · 2 baths,7388427,Upasana,,Wellington-Harrington,42.37198,-71.09177,Entire home/apt,,180,1,2020-02-28,0.02,1,0,0,
5171738,Rental unit in Cambridge · ★4.51 · 2 bedrooms · 2 beds · 1 bath,87398,Ari,,Mid-Cambridge,42.373089,-71.114189,Entire home/apt,359,5,45,2020-02-24,0.42,1,175,0,C0191060491
5666988,Home in Cambridge · ★4.94 · 3 bedrooms · 3 beds · 2.5 baths,19742431,Sarah,,West Cambridge,42.37456,-71.1334,Entire home/apt,460,30,35,2023-03-22,0.33,1,311,1,
5705842,Rental unit in Cambridge · ★4.84 · 2 bedrooms · 3 beds · 2 baths,21631889,Ling Yi,,The Port,42.36705,-71.0966,Entire home/apt,235,45,50,2023-10-01,0.48,11,270,2,C0194080491
5791244,Guest suite in Cambridge · ★4.91 · 1 bedroom · 1 bed · 1 bath,30045286,James,,West Cambridge,42.38308,-71.13517,Entire home/apt,195,3,390,2023-12-04,3.74,1,0,43,STR-13348
5811422,Rental unit in Cambridge · ★4.43 · 1 bedroom · 1 bed · 1 bath,12576232,Thomas,,The Port,42.37067,-71.09913,Entire home/apt,85,62,51,2022-12-03,0.49,6,318,0,
5857136,Rental unit in Cambridge · ★4.86 · 2 bedrooms · 3 beds · 1 bath,1260886,Mimi And Brian,,Neighborhood Nine,42.3849,-71.1304,Entire home/apt,443,2,203,2023-10-30,1.92,2,145,13,C0234160491
6106691,Home in Cambridge · ★4.71 · 2 bedrooms · 2 beds · 1 bath,8824696,Steve,,West Cambridge,42.38085,-71.13546,Entire home/apt,193,1,198,2023-09-04,1.90,2,337,20,STR-13324
6185544,Home in Cambridge · ★4.90 · 3 bedrooms · 3 beds · 2 baths,21745230,Jurek,,North Cambridge,42.3965,-71.1367,Entire home/apt,195,1,134,2023-12-11,1.31,5,202,29,STR-13504
6185571,Home in Cambridge · ★4.95 · 1 bedroom · 1 bed · 1 bath,21745230,Jurek,,North Cambridge,42.39671,-71.13664,Private room,79,2,154,2023-10-29,1.50,5,243,21,STR-13504
6261046,Rental unit in Cambridge · ★5.0 · 2 bedrooms · 3 beds · 1 bath,32531388,Jennifer,,Mid-Cambridge,42.370338599238416,-71.10498960027722,Entire home/apt,210,2,5,2023-11-27,2.50,1,104,5,STR-24629
6363476,Rental unit in Cambridge · ★4.99 · 2 bedrooms · 3 beds · 1 bath,33155440,Kimberly,,Agassiz,42.38411,-71.11523,Entire home/apt,366,4,189,2023-12-06,2.50,1,157,29,STR-13655
6374780,Rental unit in Cambridge · ★5.0 · 2 bedrooms · 2 beds · 1 bath,25354687,David,,North Cambridge,42.39525,-71.12717,Entire home/apt,186,120,5,2015-09-14,0.05,1,179,0,
6385215,Rental unit in Cambridge · ★4.63 · 2 bedrooms · 2 beds · 1 bath,22200553,Andrew,,Neighborhood Nine,42.38266,-71.12925,Entire home/apt,100,30,27,2023-11-20,0.27,1,86,2,
6473781,Home in Cambridge · ★4.82 · 5 bedrooms · 6 beds · 2.5 baths,33820072,Mary,,Cambridgeport,42.35983,-71.10667,Entire home/apt,865,3,28,2023-12-12,0.27,1,55,4,STR-13444
6599485,Rental unit in Cambridge · ★4.61 · 1 bedroom · 1 bed · 1 shared bath,6438360,John,,Neighborhood Nine,42.38461,-71.135,Private room,48,1,253,2023-12-04,2.46,1,0,33,
6662157,Guest suite in Cambridge · ★4.97 · 4 bedrooms · 6 beds · 2 baths,30719211,Zazy & Georges,,North Cambridge,42.39277,-71.13114,Entire home/apt,471,2,255,2023-12-03,2.45,1,0,43,STR-13333
6847242,Home in Cambridge · ★4.99 · 1 bedroom · 1 bed · 1 shared bath,35879509,Connie,,Neighborhood Nine,42.38469,-71.12199,Private room,110,2,257,2023-11-19,2.52,2,148,41,STR-48801
6947733,Home in Cambridge · ★4.98 · 1 bedroom · 1 bed · 1 shared bath,35879509,Connie,,Neighborhood Nine,42.38321,-71.12094,Private room,110,2,215,2023-10-22,2.08,2,147,18,STR-48801
6949378,Serviced apartment in Cambridge · ★4.47 · 2 bedrooms · 3 beds · 2 baths,30283594,Global Luxury Suites,,East Cambridge,42.363747,-71.083374,Entire home/apt,363,31,17,2018-10-13,0.17,7,365,0,C0281180491
7007117,Rental unit in Cambridge · ★4.95 · 2 bedrooms · 1 bed · 1 bath,21745230,Jurek,,North Cambridge,42.39479,-71.13499,Private room,95,2,94,2023-11-13,0.91,5,343,26,STR-13517
7080737,Rental unit in Cambridge · ★4.83 · 1 bedroom · 1 bed · 1 shared bath,3668535,Jonas,,Mid-Cambridge,42.37114,-71.11399,Private room,149,30,28,2023-10-08,0.27,5,0,3,C0191060491
7094503,Rental unit in Cambridge · ★4.93 · 1 bedroom · 1 bed · 1 shared bath,34862036,Purnima,,Mid-Cambridge,42.37283,-71.10458,Private room,104,1,261,2023-10-29,2.54,1,0,26,
7401198,Home in Cambridge · ★4.94 · 1 bedroom · 1 bed · 1 private bath,90117,Poppy,,Cambridgeport,42.35647,-71.10564,Private room,174,2,72,2021-10-31,0.71,1,108,0,
7415807,Home in Cambridge · ★5.0 · 4 bedrooms · 5 beds · 2 baths,4792976,Laurie,,North Cambridge,42.3959,-71.13225,Entire home/apt,729,5,6,2023-11-26,0.09,1,10,2,C0144620491
7490808,Rental unit in Cambridge · 1 bedroom · 1 bed · 1 bath,26994991,Coni,,East Cambridge,42.37136,-71.08008,Private room,65,91,1,2015-08-28,0.01,2,0,0,
7508244,Rental unit in Cambridge · 1 bedroom · 1 bed · 1 bath,26994991,Coni,,East Cambridge,42.37191,-71.08014,Private room,65,91,2,2015-08-16,0.02,2,0,0,
7729257,Rental unit in Cambridge · ★4.81 · 1 bedroom · 1 bed · 1 bath,3402394,Case,,Mid-Cambridge,42.3751,-71.1059,Entire home/apt,150,32,64,2023-11-02,0.63,2,263,2,
7774831,Home in Cambridge · ★4.67 · 1 bedroom · 1 bed · 2 shared baths,12576232,Thomas,,The Port,42.36898,-71.09753,Private room,60,200,12,2023-02-28,0.14,6,348,1,ROT-17388708-004
7872594,Guest suite in Cambridge · ★4.84 · 1 bedroom · 1 bed · 1 bath,40531643,Dawn,,Mid-Cambridge,42.37346,-71.10526,Entire home/apt,170,90,37,2023-12-06,0.37,4,231,1,
7881324,Guest suite in Cambridge · ★4.94 · 1 bedroom · 2 beds · 1 bath,40531643,Dawn,,Mid-Cambridge,42.37464,-71.10695,Entire home/apt,135,90,32,2023-08-01,0.33,4,99,2,ROC-11947704-005
7883909,Guest suite in Cambridge · ★4.90 · Studio · 1 bed · 1 bath,40531643,Dawn,,Mid-Cambridge,42.37544,-71.10703,Entire home/apt,155,90,29,2023-09-01,0.30,4,183,3,ROC-11947704-005
7886699,Guest suite in Cambridge · ★5.0 · Studio · 1 bed · 1 bath,40531643,Dawn,,Mid-Cambridge,42.37526,-71.1066,Entire home/apt,110,90,37,2023-08-26,0.38,4,66,3,ROC-11947704-005
8053796,Tiny home in Cambridge · 1 bed · 1 bath,10825995,Mike,,Riverside,42.36398,-71.11554,Entire home/apt,149,91,1,2023-05-08,0.13,2,147,1,
8059830,Rental unit in Cambridge · ★4.76 · 2 bedrooms · 2 beds · 2 baths,21631889,Ling Yi,,West Cambridge,42.38645,-71.14064,Entire home/apt,212,45,50,2023-07-17,0.50,11,270,3,C0194080491
8064641,Serviced apartment in Cambridge · ★5.0 · 1 bedroom · 2 beds · 1 bath,30283594,Global Luxury Suites,,East Cambridge,42.363747,-71.083374,Entire home/apt,278,31,5,2018-10-10,0.05,7,351,0,C0281180491
8100480,Condo in Cambridge · ★4.87 · 1 bedroom · 1 bed · 1 bath,16907229,Gina,,Mid-Cambridge,42.36875,-71.10541,Entire home/apt,109,30,68,2022-10-24,0.69,1,125,0,
8129338,Rental unit in Cambridge · ★4.86 · 1 bedroom · 1 bed · 2 shared baths,42927628,Gema,,East Cambridge,42.36958,-71.08429,Private room,144,2,265,2023-10-27,2.62,4,361,27,C0193080491
8151702,Rental unit in Cambridge · ★4.77 · 2 bedrooms · 2 beds · 2 baths,21631889,Ling Yi,,The Port,42.36763,-71.09655,Entire home/apt,245,45,73,2023-08-07,0.72,11,160,3,C0194080491
8200278,Rental unit in Cambridge · ★4.83 · 2 bedrooms · 1 bed · 1 shared bath,3668535,Jonas,,Mid-Cambridge,42.37312,-71.11207,Private room,220,15,18,2023-10-24,0.19,5,180,4,C0191060491
8308744,Home in Cambridge · ★4.98 · 1 bedroom · 1 bed · 1 private bath,43805765,Ruma,,Cambridgeport,42.36307,-71.11065,Private room,110,3,128,2023-12-01,1.39,1,202,28,
8482368,Home in Belmont · ★4.88 · 2 bedrooms · 2 beds · 2 baths,44673331,Joyce,,Strawberry Hill,42.38557,-71.15974,Entire home/apt,225,2,16,2019-07-28,0.16,1,1,0,
8758789,Rental unit in Cambridge · ★4.45 · 3 bedrooms · 4 beds · 1.5 baths,22020193,Sharon,,The Port,42.36868,-71.09875,Entire home/apt,258,1,596,2023-12-17,5.98,1,339,57,C0180120491
8792738,Guest suite in Cambridge · ★4.88 · 2 bedrooms · 3 beds · 1 private bath,46078639,George,,Agassiz,42.38167,-71.11721,Private room,98,5,40,2023-12-07,0.48,1,44,24,Cambridge 152602
8866753,Rental unit in Cambridge · ★4.89 · 1 bedroom · 1 bed · 1 shared bath,33317063,Hilary,,Riverside,42.36803,-71.1093,Private room,85,2,223,2020-03-15,2.24,1,0,0,C0184380491
8988749,Rental unit in Cambridge · ★4.89 · 1 bedroom · 1 bed · 1 bath,44173387,Jonah,,Cambridgeport,42.35844,-71.1092,Private room,110,91,9,2019-11-10,0.09,1,365,0,
9109000,Rental unit in Cambridge · 1 bedroom · 1 bed · 1 bath,47476115,Maxine,,East Cambridge,42.37008,-71.0883,Private room,90,91,0,,,1,365,0,
9300963,Rental unit in Cambridge · ★4.99 · 2 bedrooms · 3 beds · 1 bath,21103602,Mary Ann,,North Cambridge,42.39478,-71.12946,Entire home/apt,175,3,72,2023-12-17,0.74,2,19,18,STR-11943
9371115,Home in Cambridge · 4 bedrooms · 6 beds · 3 baths,42617851,Shahzad,,Agassiz,42.3783,-71.11025,Entire home/apt,528,91,2,2017-05-21,0.02,1,173,0,
